Condition	Group	Player	Age	Gen	AFF1	AFF2	AFF3	AFF4	RA	BLF1	BLF2	SDO1	SDO2	SDO3	SDO4	TP1	TP2	TP3	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	PI1
Short-Delay	1	1	18	1	4	4	4	4	0	4	72	10	5	7	4	5	2	2	2	5	5	7	4	1	4	6	5	7	7	1
Short-Delay	1	2	18	2	2	2	2	2	0	4	84	3	1	1	9	4	3	5	5	6	4	5	4	3	3	5	5	5	5	3
Short-Delay	1	3	17	2	4	4	4	4	0	3	60	6	6	6	6	4	4	4	5	4	5	5	5	5	5	5	5	5	5	5
Short-Delay	1	4	19	2	5	5	4	6	2	4	80	7	4	8	4	5	4	3	2	4	5	5	6	2	3	3	4	5	5	4
Short-Delay	1	5	18	1	1	1	1	1	1	4	88	10	1	10	6	1	1	6	6	6	4	6	6	4	3	5	1	4	3	4
Short-Delay	1	6	18	2	7	5	5	7	2	4	84	10	1	10	1	6	6	1	1	5	5	6	6	3	1	1	3	6	6	2
Short-Delay	2	1	20	1	4	6	6	7	0	4	100	1	9	9	1	5	1	1	2	6	6	6	6	1	2	4	4	7	2	3
Short-Delay	2	2	21	1	2	5	3	4	0	3	40	2	9	2	9	3	4	3	2	5	6	6	4	3	3	5	3	6	6	4
Short-Delay	2	3	18	2	1	1	1	1	0	4	84	9	2	9	2	2	3	6	4	5	4	6	6	5	3	5	5	3	2	3
Short-Delay	2	4	18	2	1	1	1	6	0	4	80	9	3	3	1	6	7	3	2	4	7	7	7	2	2	2	2	6	6	2
Short-Delay	2	5	18	2	1	1	1	1	2	4	60	8	6	4	8	5	5	4	3	5	7	7	4	2	1	3	4	6	5	3
Short-Delay	2	6	18	2	1	1	1	1	1	4	80	6	9	2	8	5	7	2	2	4	7	7	6	2	1	1	1	5	6	3
Short-Delay	3	1	18	1	4	5	3	5	0	4	80	5	5	6	3	3	4	2	3	5	5	6	5	3	3	4	5	6	6	3
Short-Delay	3	2	18	2	4	3	3	6	0	4	80	10	8	8	1	4	4	5	5	5	5	7	6	3	2	5	5	6	5	3
Short-Delay	3	3	24	2	7	7	7	7	0	4	100	10	10	10	10	7	7	7	6	6	4	5	6	5	1	4	4	4	4	4
Short-Delay	3	4	18	1	7	7	7	7	0	4	88	10	1	9	1	4	2	2	2	5	3	6	3	1	2	3	3	4	3	4
Short-Delay	3	5	18	1	6	3	4	6	0	4	92	10	1	8	1	5	5	4	4	6	6	7	7	3	5	5	4	7	5	3
Short-Delay	3	6	20	1	2	2	3	3	0	4	100	4	2	6	1	3	5	2	2	4	5	6	3	2	1	2	2	7	7	2
Short-Delay	4	1	19	2	6	5	4	6	0	4	76	9	2	9	2	5	4	4	3	4	5	7	6	3	4	4	5	6	6	3
Short-Delay	4	2	19	2	3	1	3	4	0	4	64	7	5	9	1	4	4	4	4	4	6	6	2	4	3	2	3	6	5	3
Short-Delay	4	3	18	1	6	5	5	6	0	4	80	9	2	9	4	4	5	5	4	3	5	6	5	3	3	3	4	3	3	2
Short-Delay	4	4	25	1	7	7	7	7	1	4	80	10	1	10	1	7	5	2	2	3	6	7	6	1	1	3	4	6	6	1
Short-Delay	4	5	20	1	7	5	5	7	0	4	96	10	1	3	1	6	7	1	1	2	5	7	4	2	2	2	3	7	7	4
Short-Delay	4	6	22	2	3	1	2	5	0	4	60	5	2	9	2	5	3	6	5	5	6	5	5	6	5	5	3	4	5	2
